Date,TimeSlot,DELHI,BRPL,BYPL,NDPL,NDMC,MES
30/09/2022,00:00,4416.800,1837.000,981.580,1374.470,159.830,22.820
30/09/2022,01:00,4137.580,1721.880,917.400,1292.060,146.710,21.660
30/09/2022,02:00,3907.030,1615.770,865.910,1225.270,141.720,21.280
30/09/2022,03:00,3700.220,1531.830,815.440,1160.770,139.590,17.270
30/09/2022,04:00,3580.860,1482.800,780.740,1122.740,137.290,20.930
30/09/2022,05:00,3549.580,1480.360,765.810,1111.880,136.080,21.890
30/09/2022,06:00,3655.190,1541.020,784.660,1130.420,139.420,25.470
30/09/2022,07:00,3896.620,1616.220,871.210,1193.610,150.610,27.050
30/09/2022,08:00,3812.700,1564.350,837.450,1162.810,182.500,29.450
30/09/2022,09:00,4080.440,1683.580,863.390,1228.880,233.850,33.020
30/09/2022,10:00,4592.790,1793.370,985.630,1470.560,272.480,33.370
30/09/2022,11:00,4846.430,1894.780,1048.080,1540.610,279.550,34.180
30/09/2022,12:00,4923.690,1913.350,1077.350,1569.340,283.120,33.770
30/09/2022,13:00,4800.640,1868.890,1095.180,1481.610,283.460,33.690
30/09/2022,14:00,4883.610,1916.010,1083.350,1523.480,281.870,32.770
30/09/2022,15:00,5061.940,1992.160,1115.680,1593.030,283.700,32.400
30/09/2022,16:00,5025.510,1969.180,1109.420,1590.370,279.620,31.920
30/09/2022,17:00,4948.520,1954.400,1087.710,1557.910,272.850,30.710
30/09/2022,18:00,4853.640,1924.460,1117.330,1494.170,243.840,28.070
30/09/2022,19:00,4882.270,1962.240,1096.710,1524.760,224.760,28.710
30/09/2022,20:00,4727.790,1927.520,1053.770,1460.040,207.830,28.000
30/09/2022,21:00,4554.970,1932.910,1002.960,1354.620,191.340,27.360
30/09/2022,22:00,4589.910,1942.270,998.570,1393.630,187.250,25.770
30/09/2022,23:00,4698.340,1977.810,1027.370,1435.370,182.560,24.740
01/10/2022,00:00,4581.220,1906.550,1020.320,1412.380,174.880,23.410
01/10/2022,01:00,4302.500,1768.730,958.820,1345.320,166.470,22.560
01/10/2022,02:00,4047.090,1678.700,884.350,1260.550,163.190,21.970
01/10/2022,03:00,3854.170,1598.060,840.550,1196.200,160.730,21.780
01/10/2022,04:00,3720.770,1548.910,800.450,1156.030,158.750,21.460
01/10/2022,05:00,3652.680,1528.690,779.130,1129.990,158.360,21.990
01/10/2022,06:00,3686.290,1530.830,791.370,1144.610,161.240,23.550
01/10/2022,07:00,3787.030,1518.030,872.540,1174.010,163.400,24.930
01/10/2022,08:00,3811.020,1535.010,873.830,1164.550,171.040,26.750
01/10/2022,09:00,3928.070,1585.170,885.540,1201.880,190.890,28.910
01/10/2022,10:00,4411.570,1805.690,979.160,1341.470,212.990,29.220
01/10/2022,11:00,4574.940,1795.790,1058.470,1426.650,220.400,29.190
01/10/2022,12:00,4669.570,1840.480,1082.980,1444.480,228.170,28.950
01/10/2022,13:00,4539.440,1811.680,1056.390,1368.400,231.230,28.600
01/10/2022,14:00,4563.510,1813.490,1075.390,1373.370,227.430,26.690
01/10/2022,15:00,4723.300,1922.570,1088.920,1417.010,226.530,24.510
01/10/2022,16:00,4669.260,1905.630,1071.460,1398.290,223.830,24.600
01/10/2022,17:00,4599.670,1888.520,1078.300,1342.080,212.750,25.700
01/10/2022,18:00,4570.340,1910.840,1070.080,1311.980,205.600,26.280
01/10/2022,19:00,4590.770,1900.560,1062.830,1351.600,203.080,27.020
01/10/2022,20:00,4500.450,1905.620,1030.720,1299.410,196.190,26.470
01/10/2022,21:00,4408.600,1885.280,1021.280,1253.400,182.130,25.340
01/10/2022,22:00,4442.600,1895.350,998.100,1304.210,178.880,24.060
01/10/2022,23:00,4588.130,1956.900,1029.330,1361.830,175.340,23.410
02/10/2022,00:00,4509.490,1907.800,1027.170,1336.250,172.450,22.330
02/10/2022,01:00,4281.070,1797.240,972.030,1289.340,160.710,21.740
02/10/2022,02:00,4027.750,1694.510,903.830,1211.140,158.760,21.240
02/10/2022,03:00,3818.230,1604.670,850.330,1150.220,155.660,20.900
02/10/2022,04:00,3675.610,1545.930,808.400,1111.070,154.540,20.750
02/10/2022,05:00,3569.630,1510.440,780.390,1070.420,152.990,21.460
02/10/2022,06:00,3545.240,1496.210,778.550,1058.690,152.240,21.880
02/10/2022,07:00,3503.370,1470.030,786.960,1035.900,155.350,21.620
02/10/2022,08:00,3495.140,1451.970,799.220,1034.880,153.400,21.960
02/10/2022,09:00,3418.500,1465.420,761.760,981.880,154.840,22.110
02/10/2022,10:00,3502.760,1487.460,804.590,996.870,158.660,22.010
02/10/2022,11:00,3594.430,1545.760,807.020,1023.920,161.090,21.590
02/10/2022,12:00,3645.990,1557.470,829.010,1036.630,167.010,21.070
02/10/2022,13:00,3579.720,1552.790,813.730,991.440,162.610,20.780
02/10/2022,14:00,3637.260,1584.750,822.180,1005.890,165.410,20.090
02/10/2022,15:00,3705.680,1624.910,841.740,1017.980,162.970,20.260
02/10/2022,16:00,3708.670,1630.310,837.030,1018.500,164.840,20.920
02/10/2022,17:00,3688.380,1630.800,835.120,1003.600,160.610,23.250
02/10/2022,18:00,3761.830,1624.850,879.740,1031.280,163.020,24.080
02/10/2022,19:00,3965.130,1760.880,895.540,1072.580,171.710,25.880
02/10/2022,20:00,4008.130,1763.120,901.900,1108.730,168.110,25.870
02/10/2022,21:00,4046.450,1804.630,889.710,1122.340,165.730,25.480
02/10/2022,22:00,4243.680,1867.020,947.490,1201.030,163.510,24.470
02/10/2022,23:00,4332.250,1903.590,979.340,1229.050,161.220,23.560
03/10/2022,00:00,4250.000,1837.820,988.090,1204.330,156.970,22.360
03/10/2022,01:00,4006.200,1720.420,929.030,1143.110,154.160,21.440
03/10/2022,02:00,3779.460,1627.920,866.670,1083.850,144.160,21.090
03/10/2022,03:00,3586.370,1539.980,821.160,1027.760,142.790,20.590
03/10/2022,04:00,3442.290,1486.030,776.560,984.880,141.320,20.590
03/10/2022,05:00,3384.080,1474.640,744.700,971.390,140.440,21.600
03/10/2022,06:00,3425.890,1483.430,765.650,979.620,142.500,23.640
03/10/2022,07:00,3576.050,1516.080,831.890,1009.970,150.430,25.910
03/10/2022,08:00,3625.450,1537.970,818.010,1023.400,175.180,28.790
03/10/2022,09:00,3809.410,1592.840,826.280,1092.080,217.260,31.730
03/10/2022,10:00,4385.690,1775.620,923.820,1371.110,249.700,33.080
03/10/2022,11:00,4556.030,1798.500,979.320,1446.030,260.250,32.690
03/10/2022,12:00,4605.540,1817.850,977.950,1478.880,252.730,31.900
03/10/2022,13:00,4600.930,1844.580,1001.940,1423.200,253.850,32.110
03/10/2022,14:00,4587.000,1840.140,973.720,1448.370,249.450,30.680
03/10/2022,15:00,4754.730,1888.250,1034.250,1505.760,251.100,30.100
03/10/2022,16:00,4800.990,1926.300,1032.780,1523.660,249.320,30.210
03/10/2022,17:00,4758.000,1935.240,1013.190,1492.410,242.520,29.640
03/10/2022,18:00,4692.000,1912.000,1025.640,1462.400,220.300,27.800
03/10/2022,19:00,4675.540,1926.180,1010.550,1462.470,204.120,27.910
03/10/2022,20:00,4470.500,1880.000,969.890,1372.750,181.500,27.010
03/10/2022,21:00,4240.930,1836.060,906.960,1251.230,172.540,26.090
03/10/2022,22:00,4325.500,1856.520,936.670,1305.620,160.860,24.700
03/10/2022,23:00,4478.760,1894.500,985.750,1374.120,158.400,23.430
04/10/2022,00:00,4425.380,1856.230,992.370,1356.640,155.110,22.360
04/10/2022,01:00,4188.190,1748.320,938.450,1289.210,150.860,21.780
04/10/2022,02:00,3948.650,1648.610,876.530,1224.160,140.560,21.260
04/10/2022,03:00,3763.510,1567.070,835.980,1163.200,140.110,20.800
04/10/2022,04:00,3606.580,1503.900,789.030,1120.940,137.680,20.770
04/10/2022,05:00,3580.470,1496.590,780.050,1110.630,137.410,21.940
04/10/2022,06:00,3583.510,1510.770,783.710,1090.740,140.010,24.110
04/10/2022,07:00,3689.820,1526.240,831.350,1124.700,145.890,26.590
04/10/2022,08:00,3770.570,1564.100,829.170,1139.270,169.160,28.210
04/10/2022,09:00,3924.430,1638.420,831.670,1174.340,208.350,31.730
04/10/2022,10:00,4496.720,1823.420,930.900,1420.900,243.750,32.300
04/10/2022,11:00,4742.120,1884.100,1000.180,1525.030,254.050,32.580
04/10/2022,12:00,4844.970,1903.380,1034.470,1577.860,255.550,32.450
04/10/2022,13:00,4725.740,1902.740,1009.540,1477.420,255.350,31.800
04/10/2022,14:00,4728.200,1902.170,1015.500,1486.360,249.780,30.760
04/10/2022,15:00,4942.680,1990.830,1043.590,1568.900,248.950,30.990
04/10/2022,16:00,4928.830,1961.900,1069.260,1573.470,249.950,30.560
04/10/2022,17:00,4861.490,1959.660,1035.660,1546.250,243.530,30.230
04/10/2022,18:00,4787.860,1926.420,1066.730,1504.290,216.840,27.760
04/10/2022,19:00,4870.150,1983.230,1065.700,1547.260,200.320,27.440
04/10/2022,20:00,4676.410,1925.810,1036.220,1467.600,183.950,26.690
04/10/2022,21:00,4424.530,1889.300,976.430,1317.570,174.370,25.990
04/10/2022,22:00,4576.700,1936.060,1015.600,1385.320,171.230,24.550
04/10/2022,23:00,4732.620,1983.220,1056.980,1462.870,160.920,23.670
05/10/2022,00:00,4690.560,1947.140,1070.720,1449.930,157.500,22.740
05/10/2022,01:00,4472.790,1859.460,1014.670,1379.780,154.530,21.860
05/10/2022,02:00,4222.180,1747.880,954.950,1306.250,151.450,21.490
05/10/2022,03:00,4006.290,1659.580,899.190,1239.210,149.250,21.100
05/10/2022,04:00,3765.690,1571.090,824.250,1184.650,130.320,21.140
05/10/2022,05:00,3688.320,1544.460,795.920,1162.550,127.990,21.860
05/10/2022,06:00,3632.390,1513.560,786.160,1143.340,129.980,22.690
05/10/2022,07:00,3686.190,1513.590,819.360,1160.460,134.620,23.180
05/10/2022,08:00,3652.160,1478.170,822.620,1163.500,138.780,23.240
05/10/2022,09:00,3660.550,1508.320,802.450,1152.020,146.420,22.610
05/10/2022,10:00,3946.390,1615.010,843.890,1275.490,152.830,22.450
05/10/2022,11:00,4195.460,1716.960,919.140,1330.700,165.160,22.700
05/10/2022,12:00,4314.700,1749.150,968.600,1363.890,169.470,22.910
05/10/2022,13:00,4195.590,1723.630,947.330,1299.990,171.100,22.070
05/10/2022,14:00,4285.120,1770.520,957.620,1320.170,174.480,21.630
05/10/2022,15:00,4108.910,1688.120,920.160,1275.630,163.090,21.790
05/10/2022,16:00,4102.340,1689.840,928.880,1264.450,163.980,22.200
05/10/2022,17:00,3856.240,1632.090,886.300,1113.660,163.370,23.870
05/10/2022,18:00,3776.250,1607.520,899.990,1048.400,157.920,24.050
05/10/2022,19:00,3792.820,1639.640,873.810,1051.300,164.270,25.030
05/10/2022,20:00,3761.310,1618.100,872.120,1042.770,163.960,24.680
05/10/2022,21:00,3871.590,1702.320,856.610,1092.380,158.150,24.750
05/10/2022,22:00,4112.850,1786.130,906.670,1199.840,156.700,24.000
05/10/2022,23:00,4258.770,1814.410,971.180,1260.730,151.500,22.620
06/10/2022,00:00,4196.880,1785.450,969.310,1234.380,146.750,21.930
06/10/2022,01:00,3869.820,1641.480,864.860,1163.330,142.530,21.050
06/10/2022,02:00,3677.210,1555.670,822.380,1107.540,135.840,20.860
06/10/2022,03:00,3506.460,1480.590,776.620,1062.740,132.640,20.530
06/10/2022,04:00,3368.120,1428.450,739.550,1018.530,130.620,20.470
06/10/2022,05:00,3277.880,1399.340,711.100,984.560,130.230,21.320
06/10/2022,06:00,3324.690,1426.620,719.800,993.740,129.110,23.330
06/10/2022,07:00,3476.720,1473.560,773.650,1030.320,141.840,25.260
06/10/2022,08:00,3478.930,1456.730,766.290,1025.150,171.660,27.820
06/10/2022,09:00,3621.600,1506.560,742.000,1099.190,211.100,31.010
06/10/2022,10:00,4278.490,1679.680,880.690,1395.590,248.690,31.750
06/10/2022,11:00,4460.950,1702.030,955.020,1470.580,259.100,30.940
06/10/2022,12:00,4577.490,1753.810,985.890,1486.020,276.620,31.110
06/10/2022,13:00,4456.910,1719.510,986.760,1413.600,263.400,30.370
06/10/2022,14:00,4465.310,1734.470,964.580,1432.460,261.830,29.500
06/10/2022,15:00,4600.500,1759.060,1006.310,1502.640,259.460,28.020
06/10/2022,16:00,4620.070,1788.950,1002.660,1496.720,256.010,28.910
06/10/2022,17:00,4612.200,1787.090,1019.540,1479.770,253.750,28.330
06/10/2022,18:00,4571.280,1771.840,1041.320,1456.570,231.020,26.980
08/10/2022,00:00,3377.110,1361.690,736.600,1095.000,132.000,18.260
08/10/2022,01:00,3201.800,1301.600,686.000,1043.780,122.440,17.540
08/10/2022,02:00,3091.900,1253.460,660.200,1014.650,116.560,17.730
08/10/2022,03:00,2979.420,1208.790,634.430,974.770,115.580,17.690
08/10/2022,04:00,2889.990,1177.060,607.240,947.290,113.270,17.720
08/10/2022,05:00,2838.750,1166.260,591.610,924.060,112.060,17.810
08/10/2022,06:00,2937.380,1226.610,609.620,938.920,115.050,19.790
08/10/2022,07:00,3109.700,1274.760,682.850,982.780,116.550,21.860
08/10/2022,08:00,3186.950,1307.670,696.860,993.910,134.860,23.750
08/10/2022,09:00,3321.260,1392.600,708.560,1012.620,150.310,24.610
08/10/2022,10:00,3632.000,1481.600,791.180,1150.000,163.410,23.910
08/10/2022,11:00,3745.850,1508.920,818.310,1189.400,170.970,23.580
08/10/2022,12:00,3789.040,1519.060,857.630,1180.540,173.970,22.860
08/10/2022,13:00,3593.320,1458.680,817.710,1096.550,165.240,21.740
