date,time,temperature_2m,relative_humidity_2m,wind_speed_10m
30/09/2022,00:00,24.9,88,5.5
30/09/2022,01:00,25.2,87,1.0
30/09/2022,02:00,23.7,93,4.5
30/09/2022,03:00,22.8,96,5.8
30/09/2022,04:00,23.0,95,5.4
30/09/2022,05:00,23.0,96,5.0
30/09/2022,06:00,23.7,94,3.4
30/09/2022,07:00,24.9,91,4.3
30/09/2022,08:00,26.8,83,5.1
30/09/2022,09:00,28.6,74,7.1
30/09/2022,10:00,29.9,66,10.2
30/09/2022,11:00,30.8,61,11.1
30/09/2022,12:00,31.5,56,12.2
30/09/2022,13:00,31.8,54,13.7
30/09/2022,14:00,31.7,53,14.3
30/09/2022,15:00,31.5,54,13.5
30/09/2022,16:00,30.9,59,12.2
30/09/2022,17:00,29.7,68,7.1
30/09/2022,18:00,28.1,74,6.3
30/09/2022,19:00,27.3,77,6.5
30/09/2022,20:00,26.7,79,6.8
30/09/2022,21:00,25.9,82,6.6
30/09/2022,22:00,25.1,87,8.7
30/09/2022,23:00,24.9,88,8.4
01/10/2022,00:00,24.7,88,6.0
01/10/2022,01:00,24.0,90,4.0
01/10/2022,02:00,23.2,95,5.6
01/10/2022,03:00,23.3,94,5.5
01/10/2022,04:00,23.0,95,5.8
01/10/2022,05:00,23.4,95,5.1
01/10/2022,06:00,23.9,92,6.5
01/10/2022,07:00,25.2,89,7.2
01/10/2022,08:00,27.3,81,6.4
01/10/2022,09:00,29.2,70,8.2
01/10/2022,10:00,30.5,62,9.6
01/10/2022,11:00,31.4,57,11.0
01/10/2022,12:00,32.0,54,11.5
01/10/2022,13:00,32.3,52,11.2
01/10/2022,14:00,32.5,50,11.5
01/10/2022,15:00,32.3,50,11.5
01/10/2022,16:00,31.5,55,9.9
01/10/2022,17:00,29.7,69,5.5
01/10/2022,18:00,27.7,76,7.2
01/10/2022,19:00,27.1,78,8.0
01/10/2022,20:00,26.8,77,8.3
01/10/2022,21:00,26.0,80,8.6
01/10/2022,22:00,25.8,80,7.3
01/10/2022,23:00,25.7,80,6.2
02/10/2022,00:00,25.2,83,6.0
02/10/2022,01:00,25.3,82,5.2
02/10/2022,02:00,23.2,92,5.4
02/10/2022,03:00,23.5,89,7.2
02/10/2022,04:00,22.9,91,5.9
02/10/2022,05:00,23.3,94,4.8
02/10/2022,06:00,23.8,92,4.2
02/10/2022,07:00,25.2,87,4.8
02/10/2022,08:00,27.6,79,4.7
02/10/2022,09:00,29.5,69,6.0
02/10/2022,10:00,31.0,62,8.8
02/10/2022,11:00,32.0,55,12.0
02/10/2022,12:00,32.6,51,12.9
02/10/2022,13:00,32.9,48,13.3
02/10/2022,14:00,33.0,45,12.7
02/10/2022,15:00,32.5,46,13.9
02/10/2022,16:00,31.9,51,9.4
02/10/2022,17:00,29.9,58,9.2
02/10/2022,18:00,28.3,64,8.9
02/10/2022,19:00,27.1,69,8.1
02/10/2022,20:00,26.5,70,9.4
02/10/2022,21:00,26.2,67,10.8
02/10/2022,22:00,25.6,67,10.1
02/10/2022,23:00,24.9,70,9.8
03/10/2022,00:00,24.5,72,9.9
03/10/2022,01:00,24.1,74,9.4
03/10/2022,02:00,23.7,76,9.2
03/10/2022,03:00,23.5,76,10.2
03/10/2022,04:00,23.2,78,10.4
03/10/2022,05:00,23.1,81,10.3
03/10/2022,06:00,23.4,80,12.4
03/10/2022,07:00,24.4,79,13.9
03/10/2022,08:00,26.3,72,14.1
03/10/2022,09:00,28.5,64,16.3
03/10/2022,10:00,30.5,55,18.8
03/10/2022,11:00,31.9,48,20.7
03/10/2022,12:00,32.7,43,23.2
03/10/2022,13:00,33.0,41,22.7
03/10/2022,14:00,33.0,41,21.9
03/10/2022,15:00,32.6,42,20.4
03/10/2022,16:00,31.7,47,16.0
03/10/2022,17:00,30.0,55,14.3
03/10/2022,18:00,28.8,57,13.4
03/10/2022,19:00,27.9,60,12.9
03/10/2022,20:00,27.1,62,11.2
03/10/2022,21:00,26.5,64,10.2
03/10/2022,22:00,25.9,66,10.3
03/10/2022,23:00,25.3,68,10.3
04/10/2022,00:00,24.7,70,10.4
04/10/2022,01:00,24.1,72,8.1
04/10/2022,02:00,23.7,73,8.4
04/10/2022,03:00,23.4,75,8.9
04/10/2022,04:00,23.2,75,9.2
04/10/2022,05:00,23.1,79,8.4
04/10/2022,06:00,23.6,77,9.5
04/10/2022,07:00,24.6,77,10.0
